created,domain,expires,lookup_status,name_servers,registrar,status
1997-09-15,google.com,2028-09-14,Success,"NS1.GOOGLE.COM, NS2.GOOGLE.COM, NS3.GOOGLE.COM, NS4.GOOGLE.COM","MarkMonitor, Inc.","['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited', 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)', 'serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited)', 'serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited)', 'serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited)']"
2007-10-09,github.com,2026-10-09,Success,"DNS1.P08.NSONE.NET, DNS2.P08.NSONE.NET, DNS3.P08.NSONE.NET, DNS4.P08.NSONE.NET, NS-1283.AWSDNS-32.ORG, NS-1707.AWSDNS-21.CO.UK, NS-421.AWSDNS-52.COM, NS-520.AWSDNS-01.NET","MarkMonitor, Inc.","['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)']"
-,example.org,-,Failed,-,-,-
-,nonexistentphishsite.net,-,Failed,-,-,-
2007-01-19,openai.com,2029-01-19,Success,"NS1-02.AZURE-DNS.COM, NS2-02.AZURE-DNS.NET, NS3-02.AZURE-DNS.ORG, NS4-02.AZURE-DNS.INFO","MarkMonitor, Inc.","['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited', 'serverTransferProhibited https://icann.org/epp#serverTransferProhibited', 'serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited', 'clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited)', 'clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited)', 'clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited)', 'serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited)', 'serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited)', 'serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited)']"
1998-01-24,mozilla.org,2027-01-23,Success,"ns1-240.akam.net, ns4-64.akam.net, ns5-65.akam.net, ns7-66.akam.net",MarkMonitor Inc.,"['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited']"
-,invalid domain,-,Success,N/A,N/A,N/A
2014-09-29,ktu.edu.in,2033-09-29,Success,"nsdc1.kerala.gov.in, nsdc2.kerala.gov.in",ERNET India,ok https://icann.org/epp#ok
2003-12-31,kerala.gov.in,2025-12-31,Success,"ns1.cdit.org, ns3.cdit.org, ns2.cdit.org",National Informatics Centre,ok https://icann.org/epp#ok
1998-07-28,keralatourism.org,2027-07-27,Success,"dns1.hostgator.in, dns2.hostgator.in, dns3.hostgator.in, dns4.hostgator.in",PDR Ltd. d/b/a PublicDomainRegistry.com,clientTransferProhibited https://icann.org/epp#clientTransferProhibited
1997-11-25,cdit.org,2025-11-24,Success,"ns5.cdit.org, ns6.cdit.org, ns1.cdit.org, ns2.cdit.org, ns4.cdit.org, ns3.cdit.org",PDR Ltd. d/b/a PublicDomainRegistry.com,clientTransferProhibited https://icann.org/epp#clientTransferProhibited
2005-03-17,norka.gov.in,2026-03-17,Success,"ldslave.kerala.gov.in, ldmaster.kerala.gov.in",National Informatics Centre,ok https://icann.org/epp#ok
2005-02-16,infopark.in,2027-02-16,Success,"asianetweb.earth.orderbox-dns.com, asianetweb.mars.orderbox-dns.com, asianetweb.mercury.orderbox-dns.com, asianetweb.venus.orderbox-dns.com",Endurance Digital Domain Technology Private Limited,clientTransferProhibited https://icann.org/epp#clientTransferProhibited
2003-12-31,startupmission.kerala.gov.in,2025-12-31,Success,"ns1.cdit.org, ns3.cdit.org, ns2.cdit.org",National Informatics Centre,ok https://icann.org/epp#ok
1997-07-07,technopark.org,2030-07-06,Success,"asianetweb.earth.orderbox-dns.com, asianetweb.mars.orderbox-dns.com, asianetweb.mercury.orderbox-dns.com, asianetweb.venus.orderbox-dns.com",PDR Ltd. d/b/a PublicDomainRegistry.com,ok https://icann.org/epp#ok
2002-12-14,ksfe.com,2025-12-14,Success,"NS1.CDIT.ORG, NS2.CDIT.ORG, NS3.CDIT.ORG",PDR Ltd. d/b/a PublicDomainRegistry.com,clientTransferProhibited https://icann.org/epp#clientTransferProhibited
2005-12-21,ksrtc.in,2025-12-21,Success,"ns30.domaincontrol.com, ns29.domaincontrol.com","GoDaddy.com, LLC","['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited']"
